date:number,ugeo:text,D19:number,D22:number,D23:number,D15:number,D59:number,D16:number,D14:number,D97:number,index:number
1992,United Kingdom,188.80350913,50867.775,50867.775,188.80350913,4284.748,15.9034960373,204.707005167,320.98522093,638.0
1992,Romania,54.82915046,16265.359,10549.0867778,35.5600799315,972.342111111,3.27768307534,38.8377630068,54.0062790698,719.0
1992,Norway,None,77.715,17.1283333333,None,-1.29244444444,None,None,117.382872093,None
1992,Lithuania,7.60750433,2513.246,772.246,2.33756058453,24.3851111111,0.0738128453662,2.4113734299,18.6866395349,129.0
1992,Hungary,19.81013363,6247.671,4942.03322222,15.6702135141,231.836666667,0.735108386309,16.4053219005,31.6793023256,518.0
1992,Slovenia,5.81001367,1314.792,1125.54644444,4.97374507028,110.847888889,0.489832421961,5.46357749224,12.3417790698,443.0
1992,Germany,320.72394673,75784.676,65339.4948889,276.519499511,15864.307,67.1384166527,343.657916163,537.373267442,640.0
1992,Croatia,3.54872237,1251.906,909.136,2.57708746549,116.949,0.331510139299,2.90859760479,8.90048837209,327.0
1992,Poland,215.54371334,38413.912,29684.1742222,166.560415385,4247.39922222,23.8325167298,190.392932115,132.726116279,1434.0
1992,Bulgaria,28.23724796,7323.759,5429.26011111,20.932879413,1013.763,3.90863178372,24.8415111967,35.6035930233,698.0
1992,Portugal,18.16974024,5127.921,5092.94322222,18.0458036317,181.539,0.643246351383,18.6890499831,30.0825813953,621.0
1992,Greece,41.97049599,8855.663,8855.663,41.97049599,244.451,1.15855015206,43.1290461421,37.4042674419,1153.0
1992,Iceland,0.01412971,1.027,1.027,0.01412971,0.0,0.0,0.01412971,4.54518604651,3.0
1992,Czechia,53.11420914,13387.496,10266.4971111,40.7318048644,1309.58233333,5.19570126771,45.9275061321,59.2823372093,775.0
1992,Turkey,None,8916.482,8916.482,None,1202.706,None,None,67.329872093,None
1992,Slovakia,10.87598293,3098.555,2048.90722222,7.19170063918,350.579444444,1.23054005928,8.42224069846,23.622744186,357.0
1992,Spain,74.32664844,19050.034,19050.034,74.32664844,689.388,2.6897537041,77.0164021441,158.693430233,485.0
1992,Belgium,23.1875156,5615.215,5347.54722222,22.0822060486,746.923,3.08435005864,25.1665561072,72.212,349.0
1992,Luxembourg,0.03738875,11.059,11.059,0.03738875,175.86,0.594555165476,0.631943915476,1.19777906977,528.0
1992,Denmark,28.44424847,7348.639,5173.92233333,20.0266106981,111.610333333,0.432008165478,20.4586188636,30.7324651163,666.0
1992,European Union - 27 countries (from 2020),1177.6112371,283055.141,237589.024333,988.455831885,38403.5924444,159.772763172,1148.22859506,2301.96444186,499.0
1993,Iceland,0.01736178,1.552,0.649777777778,0.00726887810997,0.0,0.0,0.00726887810997,4.72613953488,2.0
1993,Portugal,16.15566159,4521.386,4483.25044444,16.0193969291,267.66,0.956393544187,16.9757904733,31.2003837209,544.0
1993,Bulgaria,28.66972873,7311.875,5717.36611111,22.4176884117,894.710888889,3.50814510317,25.9258335149,37.9901744186,682.0
1993,Norway,None,85.378,19.5102222222,None,0.074,None,None,119.980406977,None
1993,Estonia,15.1178566,3326.838,1988.05244444,9.03413143904,43.7506666667,0.198812297088,9.23294373613,9.11536046512,1013.0
1993,Poland,200.81169849,38811.12,29532.9377778,152.805675192,2823.61988889,14.6096249162,167.415300108,133.842906977,1251.0
1993,Denmark,30.03540267,7782.768,5445.29133333,21.0145693476,112.795777778,0.435303558455,21.449872906,33.9678953488,631.0
1993,Austria,8.46738439,2699.678,1992.10911111,6.24813536674,959.609555556,3.0097600422,9.25789540894,52.4102209302,177.0
1993,Turkey,None,8563.302,8563.302,None,1502.526,None,None,73.7947093023,None
1993,Latvia,3.86385214,1315.675,247.370555556,0.726473673556,78.2142222222,0.229698208077,0.956171881633,3.92298837209,244.0
1993,Czechia,52.99402457,13307.997,10103.4036667,40.2329533251,1319.93822222,5.25615076253,45.4891040877,58.8703953488,773.0
1993,Slovakia,9.71072898,3682.451,2826.50655556,7.45357891285,265.058222222,0.69896613965,8.1525450525,24.4376046512,334.0
1993,France,39.6900796,3815.816,3815.816,39.6900796,3774.16511111,39.2568493039,78.9469289039,472.622790698,167.0
1993,Croatia,3.85490028,1323.237,986.438111111,2.87372598463,139.37,0.406017555452,3.27974354008,9.56208139535,343.0
1993,Greece,41.8960917,8845.192,8845.192,41.8960917,221.807,1.0506099146,42.9467016146,38.3890930233,1119.0
1993,Netherlands,42.59561249,12747.768,11809.6346667,39.4609175434,1515.15988889,5.06278146006,44.5236990034,76.9313255814,579.0
1993,Lithuania,5.96169921,1876.881,460.551,1.46288791504,17.2927777778,0.0549285434806,1.51781645852,14.1014651163,108.0
1993,Hungary,20.07016391,5951.054,4742.97288889,15.9958628002,217.813,0.734582917871,16.7304457181,32.9090813953,508.0
1993,Ireland,12.12624655,3418.218,3418.218,12.12624655,55.453,0.196721434952,12.322967985,16.3930581395,752.0
1993,Malta,2.10994001,609.401,609.401,2.10994001,0.0,0.0,2.10994001,1.49973255814,1407.0
1993,Italy,98.83112708,30997.43,30997.43,98.83112708,5139.654,16.3870939501,115.21822103,222.408965116,518.0
1993,European Union - 27 countries (from 2020),1125.77724345,274551.147,229064.511444,939.262563948,36214.7637778,148.496035742,1087.75859969,2302.15501163,472.0
1993,United Kingdom,171.30106806,46716.911,46716.911,171.30106806,4084.576,14.9772794561,186.278347516,323.043848837,577.0
1993,Luxembourg,0.03556906,10.533,10.533,0.03556906,171.907,0.580515560374,0.616084620374,1.06680232558,578.0
1993,Romania,52.96933978,16444.784,10462.8617778,33.7013171215,559.804111111,1.80315254805,35.5044696695,55.3500232558,641.0
1993,Finland,18.89317483,4945.822,2515.51088889,9.60932015154,535.692,2.04635803938,11.6556781909,61.0676860465,191.0
1993,Slovenia,5.61986719,1359.222,1165.46422222,4.81875230359,95.3834444444,0.394374347901,5.21312665149,11.9438604651,436.0
1993,Sweden,9.43308051,2387.109,550.966777778,2.17724199989,187.839,0.742278802484,2.91952080237,145.785255814,20.0
1993,European Union - 28 countries (2013-2020),1297.07831151,321268.058,275781.422444,1113.43189235,40299.3397778,162.70338209,1276.13527444,2625.19886047,486.0
1993,Cyprus,2.172461,675.692,675.692,2.172461,0.0,0.0,2.172461,2.58953488372,839.0
1993,Germany,311.79557626,74614.946,64148.3471111,268.058504708,15319.767,64.0171418195,332.075646528,526.181290698,631.0
1993,Spain,68.50765413,16092.934,16092.934,68.50765413,758.082,3.22715667996,71.73481081,156.77377907,458.0
1993,Belgium,23.38832169,5675.32,5420.26,22.3372046904,740.217,3.05047703326,25.3876817236,70.821255814,358.0
1994,Romania,51.6357668,15680.13,10391.3655556,34.2194948996,873.815666667,2.87753621878,37.0970311184,55.0170930233,674.0
1994,Poland,195.26349755,38397.853,29512.3096667,150.078099583,2441.49866667,12.4156829528,162.493782535,135.322627907,1201.0
1994,Netherlands,46.43012938,13405.482,12101.4097778,41.9134516508,1504.33444444,5.21028955813,47.1237412089,79.635244186,592.0
1994,Slovenia,5.43131987,1249.44,1053.71888889,4.58051954365,123.192222222,0.535517003125,5.11603654677,12.8926860465,397.0
1994,Austria,8.74986679,2811.015,2101.29944444,6.54073002983,1229.16255556,3.82602320669,10.3667532365,53.1226511628,195.0
1994,Croatia,2.52271851,892.724,572.485111111,1.61776628219,142.337,0.402225306543,2.01999158873,8.77131395349,230.0
